index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,1,25.0,3,21.25,1.1,20.0,50.0
1,2,25.0,3,21.25,1.2100000000000002,20.0,50.0
2,1,25.0,0,23.75,1.1,20.0,50.0
3,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
4,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
5,1,25.0,0,23.75,1.1,20.0,50.0
6,1,25.0,0,23.75,1.1,20.0,50.0
7,1,25.0,1,21.25,1.1,20.0,25.0
8,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
9,1,25.0,0,23.75,1.1,20.0,50.0
10,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
11,2,25.0,4,21.25,1.2100000000000002,20.0,50.0
12,2,25.0,4,21.25,1.2100000000000002,20.0,50.0
13,2,25.0,4,21.25,1.2100000000000002,20.0,50.0
14,2,25.0,3,21.25,1.2100000000000002,20.0,50.0
15,2,25.0,4,21.25,1.2100000000000002,20.0,50.0
16,1,25.0,4,21.25,1.1,20.0,50.0
17,1,25.0,0,23.75,1.1,20.0,50.0
18,2,25.0,4,21.25,1.2100000000000002,20.0,50.0
19,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
20,1,25.0,2,22.5,1.1,20.0,25.0
21,1,25.0,1,21.25,1.1,20.0,25.0
22,1,25.0,1,21.25,1.1,20.0,25.0
23,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
24,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
25,1,25.0,2,22.5,1.1,20.0,25.0
26,1,25.0,0,23.75,1.1,20.0,50.0
27,1,25.0,0,23.75,1.1,20.0,50.0
28,1,25.0,1,21.25,1.1,20.0,25.0
29,1,25.0,1,21.25,1.1,20.0,25.0
30,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
31,1,25.0,4,21.25,1.1,20.0,50.0
32,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
33,2,25.0,4,21.25,1.2100000000000002,20.0,50.0
34,1,25.0,2,22.5,1.1,20.0,25.0
35,1,25.0,4,21.25,1.1,20.0,50.0
36,1,25.0,2,22.5,1.1,20.0,25.0
37,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
38,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
39,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
40,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
41,1,25.0,0,23.75,1.1,20.0,50.0
42,1,25.0,4,21.25,1.1,20.0,50.0
43,1,25.0,2,22.5,1.1,20.0,25.0
44,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
45,1,25.0,1,21.25,1.1,20.0,25.0
46,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
47,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
48,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
49,1,25.0,3,21.25,1.1,20.0,50.0
50,1,25.0,0,23.75,1.1,20.0,50.0
51,2,25.0,3,21.25,1.2100000000000002,20.0,50.0
52,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
53,1,25.0,1,21.25,1.1,20.0,25.0
54,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
55,2,25.0,4,21.25,1.2100000000000002,20.0,50.0
56,1,25.0,2,22.5,1.1,20.0,25.0
57,1,25.0,1,21.25,1.1,20.0,25.0
58,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
59,2,25.0,3,21.25,1.2100000000000002,20.0,50.0
60,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
61,1,25.0,2,22.5,1.1,20.0,25.0
62,1,25.0,0,23.75,1.1,20.0,50.0
