index,x,y
0,73.13,69.359
1,90.384,72.1
2,19.642,53.327
3,64.91,5.59
4,94.138,8.699
5,60.845,62.749
6,69.225,3.522
7,90.904,21.642
8,25.804,41.19
9,90.586,8.425
10,60.529,18.942
11,23.299,67.649
12,57.43,88.754
13,54.397,66.022
14,61.698,7.356
15,39.961,9.998
16,64.314,96.385
17,52.185,46.756
18,50.876,62.889
19,99.441,70.698
20,65.138,94.588
21,10.463,29.528
22,39.842,84.762
23,54.105,25.289
24,38.066,55.334
25,23.178,65.635
26,32.737,52.55
27,55.161,18.976
28,64.979,1.101
29,25.631,84.325
30,61.034,83.063
31,6.555,90.155
32,23.859,83.299
33,73.366,80.911
34,10.079,73.882
35,87.417,94.457
