index,x,y
0,33.173,79.695
1,63.687,58.216
2,91.391,11.744
3,82.988,26.739
4,88.383,50.332
5,52.92,13.055
6,29.406,67.901
7,64.218,62.539
8,91.445,3.538
9,84.787,47.348
10,27.268,27.02
11,18.552,39.204
12,69.267,21.666
13,70.011,15.022
14,11.311,65.257
15,18.045,7.423
16,54.26,73.901
17,76.231,98.708
18,85.831,44.358
19,28.67,93.634
20,16.293,37.485
21,51.899,17.071
22,57.47,63.529
23,25.648,38.832
24,35.03,77.133
25,9.299,68.1
26,1.373,81.417
27,15.842,81.996
28,56.556,82.195
29,63.079,86.693
30,63.849,27.194
31,15.492,50.075
32,92.014,90.907
33,23.3,99.049
34,61.922,47.407
35,35.609,77.326
36,87.266,45.222
37,42.543,82.825
38,65.761,4.104
39,4.786,72.327
40,8.092,2.449
41,97.641,64.358
42,31.773,17.06
43,65.701,24.741
44,22.327,58.024
45,37.939,35.318
46,59.852,38.999
47,68.77,21.692
48,64.187,50.638
49,99.542,36.506
50,61.031,77.522
51,2.424,94.032
52,55.856,71.824
53,76.311,43.432
54,92.297,43.525
55,18.753,85.022
56,42.914,1.634
57,10.494,39.821
58,73.952,17.142
59,51.8,43.708
60,48.452,37.11
61,42.572,75.536
62,93.726,79.362
63,65.98,68.783
64,75.078,44.898
65,80.08,2.346
66,68.034,10.002
67,72.176,61.134
68,89.373,38.618
69,16.6,81.531
70,37.31,23.646
71,12.754,87.226
72,53.454,6.196
73,30.005,82.706
