index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
1,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
2,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
3,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
4,1,25.0,1,23.75,1.1,20.0,50.0
5,1,25.0,3,23.75,1.1,20.0,25.0
6,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
7,1,25.0,3,23.75,1.1,20.0,25.0
8,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
9,1,25.0,4,22.5,1.1,20.0,25.0
10,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
11,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
12,1,25.0,3,23.75,1.1,20.0,25.0
13,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
14,1,25.0,4,22.5,1.1,20.0,25.0
15,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
16,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
17,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
18,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
19,1,25.0,3,23.75,1.1,20.0,25.0
20,1,25.0,3,23.75,1.1,20.0,25.0
21,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
22,1,25.0,1,23.75,1.1,20.0,50.0
23,1,25.0,0,23.75,1.1,20.0,50.0
24,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
25,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
26,1,25.0,2,22.5,1.1,20.0,25.0
27,1,25.0,0,23.75,1.1,20.0,50.0
28,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
29,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
30,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
31,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
32,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
33,1,25.0,3,23.75,1.1,20.0,25.0
34,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
35,1,25.0,4,22.5,1.1,20.0,25.0
36,1,25.0,2,22.5,1.1,20.0,25.0
37,1,25.0,3,23.75,1.1,20.0,25.0
38,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
39,1,25.0,0,23.75,1.1,20.0,50.0
40,1,25.0,0,23.75,1.1,20.0,50.0
41,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
42,1,25.0,0,23.75,1.1,20.0,50.0
43,1,25.0,0,23.75,1.1,20.0,50.0
44,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
45,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
46,1,25.0,4,22.5,1.1,20.0,25.0
47,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
48,1,25.0,2,22.5,1.1,20.0,25.0
49,1,25.0,2,22.5,1.1,20.0,25.0
50,1,25.0,0,23.75,1.1,20.0,50.0
51,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
52,1,25.0,4,22.5,1.1,20.0,25.0
53,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
54,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
55,1,25.0,1,23.75,1.1,20.0,50.0
56,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
57,1,25.0,1,23.75,1.1,20.0,50.0
58,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
59,1,25.0,0,23.75,1.1,20.0,50.0
60,1,25.0,4,22.5,1.1,20.0,25.0
61,1,25.0,0,23.75,1.1,20.0,50.0
62,1,25.0,0,23.75,1.1,20.0,50.0
63,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
64,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
65,1,25.0,3,23.75,1.1,20.0,25.0
66,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
67,1,25.0,4,22.5,1.1,20.0,25.0
68,1,25.0,1,23.75,1.1,20.0,50.0
69,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
70,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
71,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
72,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
73,1,25.0,0,23.75,1.1,20.0,50.0
74,1,25.0,0,23.75,1.1,20.0,50.0
75,1,25.0,2,22.5,1.1,20.0,25.0
76,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
77,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
78,1,25.0,1,23.75,1.1,20.0,50.0
79,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
80,1,25.0,2,22.5,1.1,20.0,25.0
81,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
82,1,25.0,4,22.5,1.1,20.0,25.0
83,1,25.0,4,22.5,1.1,20.0,25.0
84,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
85,1,25.0,1,23.75,1.1,20.0,50.0
86,1,25.0,4,22.5,1.1,20.0,25.0
87,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
88,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
89,1,25.0,2,22.5,1.1,20.0,25.0
90,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
91,1,25.0,3,23.75,1.1,20.0,25.0
92,1,25.0,3,23.75,1.1,20.0,25.0
93,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
94,1,25.0,4,22.5,1.1,20.0,25.0
95,1,25.0,0,23.75,1.1,20.0,50.0
96,1,25.0,4,22.5,1.1,20.0,25.0
97,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
98,1,25.0,0,23.75,1.1,20.0,50.0
99,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
100,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
101,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
102,1,25.0,1,23.75,1.1,20.0,50.0
103,1,25.0,0,23.75,1.1,20.0,50.0
104,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
105,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
106,1,25.0,0,23.75,1.1,20.0,50.0
107,1,25.0,4,22.5,1.1,20.0,25.0
108,1,25.0,1,23.75,1.1,20.0,50.0
109,1,25.0,3,23.75,1.1,20.0,25.0
110,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
111,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
112,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
113,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
114,1,25.0,3,23.75,1.1,20.0,25.0
115,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
116,1,25.0,3,23.75,1.1,20.0,25.0
117,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
118,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
119,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
120,1,25.0,2,22.5,1.1,20.0,25.0
121,2,25.0,2,22.5,1.2100000000000002,20.0,25.0
122,1,25.0,2,22.5,1.1,20.0,25.0
123,1,25.0,0,23.75,1.1,20.0,50.0
124,1,25.0,2,22.5,1.1,20.0,25.0
125,1,25.0,4,22.5,1.1,20.0,25.0
126,1,25.0,0,23.75,1.1,20.0,50.0
127,1,25.0,0,23.75,1.1,20.0,50.0
128,1,25.0,1,23.75,1.1,20.0,50.0
129,1,25.0,0,23.75,1.1,20.0,50.0
130,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
131,1,25.0,1,23.75,1.1,20.0,50.0
132,2,25.0,1,23.75,1.2100000000000002,20.0,50.0
133,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
134,2,25.0,0,23.75,1.2100000000000002,20.0,50.0
135,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
136,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
137,1,25.0,4,22.5,1.1,20.0,25.0
138,1,25.0,2,22.5,1.1,20.0,25.0
139,1,25.0,0,23.75,1.1,20.0,50.0
140,2,25.0,3,23.75,1.2100000000000002,20.0,25.0
141,1,25.0,0,23.75,1.1,20.0,50.0
142,1,25.0,3,23.75,1.1,20.0,25.0
143,1,25.0,4,22.5,1.1,20.0,25.0
144,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
145,2,25.0,4,22.5,1.2100000000000002,20.0,25.0
146,1,25.0,0,23.75,1.1,20.0,50.0
