index,x,y
0,89.135,91.686
1,30.793,89.076
2,5.192,8.686
3,1.662,6.432
4,93.13,91.934
5,91.873,32.169
6,5.241,5.749
7,79.837,79.402
8,32.575,83.7
9,90.844,88.673
10,91.387,36.374
11,35.737,91.122
12,96.758,39.137
13,31.537,89.298
14,88.446,31.803
15,34.516,77.213
16,3.955,5.323
17,74.953,79.824
18,35.88,93.072
19,78.155,80.644
20,27.676,79.514
21,5.994,7.123
22,88.221,88.369
23,89.32,38.24
24,5.075,7.852
25,78.089,80.748
26,30.383,80.502
27,94.125,90.569
28,92.474,30.64
29,39.504,88.919
30,93.394,89.28
31,92.416,85.559
32,95.614,38.315
33,81.599,78.641
34,36.449,89.183
35,96.507,38.816
36,86.27,88.148
37,79.507,79.044
38,35.811,93.559
39,92.012,86.103
40,81.543,78.689
41,86.666,33.19
42,5.974,2.24
43,29.196,79.552
44,82.445,86.991
45,33.569,92.636
46,33.357,90.934
47,35.795,100.0
48,37.873,93.948
49,89.67,33.505
50,42.52,95.018
51,79.439,76.682
52,26.784,79.037
53,40.257,89.352
54,92.735,85.632
55,77.912,79.728
56,9.636,2.776
57,9.418,4.824
58,88.797,90.005
59,87.923,37.791
60,91.369,36.866
61,39.175,92.042
62,35.099,91.795
63,29.496,78.203
64,80.853,80.084
65,30.246,77.046
66,28.063,77.859
67,93.634,89.843
68,93.776,90.547
69,92.188,33.635
70,80.372,83.961
71,87.784,86.45
72,29.081,76.876
73,37.313,91.836
74,88.429,36.241
75,76.876,81.888
76,5.38,9.076
77,28.226,79.885
78,0.247,5.95
79,91.459,86.117
80,37.685,94.372
81,32.555,93.252
82,81.936,78.669
83,90.383,86.985
84,28.616,79.611
85,77.348,80.977
86,30.322,83.292
87,26.762,79.925
88,80.035,86.771
89,28.742,78.301
90,28.646,80.171
91,93.079,30.031
92,95.112,92.94
93,93.584,36.191
94,94.627,39.386
95,78.328,74.746
96,2.046,0.214
97,79.617,83.192
98,37.021,93.782
99,91.244,87.78
100,75.434,78.909
101,27.021,80.468
102,34.646,77.637
103,81.146,80.85
104,88.882,91.072
105,93.339,36.124
106,31.92,79.229
107,29.59,77.702
108,86.075,86.174
109,95.32,91.733
110,90.09,84.327
111,36.888,95.601
112,78.535,82.033
113,82.658,76.171
114,79.202,77.732
115,94.286,32.243
116,88.946,90.088
117,89.45,36.194
118,30.742,85.586
119,89.216,90.175
120,94.384,86.296
121,95.818,35.113
122,88.271,90.347
123,93.007,36.063
124,5.109,7.837
125,6.25,8.177
126,89.932,92.566
127,26.186,80.467
128,33.513,92.19
129,93.469,33.607
130,92.886,34.826
131,90.93,33.732
132,94.512,87.796
133,9.491,10.243
134,91.052,92.617
135,95.789,35.852
136,85.335,79.445
137,86.671,84.913
138,95.293,34.673
139,91.945,33.747
140,5.634,4.869
141,87.653,88.666
142,76.3,78.594
143,23.606,77.722
144,93.848,88.986
145,82.503,77.289
146,8.991,6.969
147,80.752,81.738
148,77.065,83.932
149,31.127,89.177
150,94.622,36.588
151,94.265,36.678
152,4.478,3.788
153,2.365,5.813
154,92.612,31.022
155,89.795,37.86
156,31.131,78.649
157,88.114,88.338
158,78.941,83.441
159,90.396,36.152
160,78.527,82.631
161,6.932,2.37
162,93.081,33.526
163,34.099,93.847
164,37.786,89.618
165,86.697,33.5
166,27.456,81.863
167,6.244,6.803
168,35.966,96.002
169,92.155,33.78
170,89.71,85.025
171,89.103,86.868
172,88.017,91.127
173,5.584,10.928
174,29.248,79.611
175,10.788,9.063
176,91.058,89.815
177,79.667,76.179
178,26.919,80.052
179,36.867,91.633
180,35.912,96.932
181,81.085,83.155
182,25.919,80.298
183,25.336,79.477
184,27.44,83.986
185,93.508,34.77
186,6.937,8.298
187,30.629,79.099
188,93.239,83.788
189,3.17,4.578
190,41.408,87.835
191,79.461,80.819
192,1.799,10.833
193,87.473,35.149
194,80.557,84.379
195,31.77,79.56
196,93.699,92.111
197,32.579,91.316
198,76.334,82.928
199,80.188,78.733
200,94.352,90.65
201,9.096,4.805
202,33.839,92.6
203,90.619,87.573
204,78.032,77.49
205,27.591,81.436
206,80.005,79.861
207,80.112,84.192
208,26.217,78.628
209,92.201,35.145
210,90.794,31.929
211,29.421,75.526
212,39.574,95.434
213,34.668,93.808
214,78.982,75.505
215,31.39,80.413
216,38.733,95.37
217,24.779,78.077
218,90.495,85.276
219,32.854,94.033
220,91.818,90.571
221,33.878,93.979
222,39.408,94.636
223,82.921,79.271
224,91.836,85.51
225,28.728,81.6
226,3.924,8.094
227,1.267,6.119
228,33.454,95.734
229,92.828,33.005
230,34.283,88.8
231,92.602,87.326
232,3.119,6.712
233,29.693,75.997
234,3.607,6.646
235,82.426,78.177
236,36.982,92.97
237,79.392,79.972
238,10.431,7.298
239,90.187,90.223
240,8.694,4.446
241,8.049,4.911
242,79.307,81.641
243,31.686,79.121
244,90.164,33.364
245,92.014,33.077
246,32.887,87.648
247,5.934,10.339
248,4.828,9.391
249,94.753,32.14
250,2.165,4.012
251,88.147,85.471
252,87.858,93.392
253,93.687,85.833
254,94.543,92.503
255,27.236,79.307
256,25.883,79.741
257,88.115,91.135
258,6.884,8.8
259,80.951,75.782
260,33.651,93.235
261,92.381,33.292
262,24.476,78.009
263,92.611,83.969
264,95.804,27.023
265,39.96,96.518
266,3.404,7.982
267,78.879,76.735
268,91.268,88.429
269,95.565,33.588
270,95.889,34.936
271,34.584,96.414
272,42.24,90.52
273,81.075,81.543
274,28.693,82.652
275,3.644,7.694
276,95.745,87.114
277,91.202,86.168
278,37.094,91.549
279,34.193,92.478
280,32.515,89.065
281,34.983,92.905
282,95.341,39.732
283,36.54,91.57
284,30.433,79.714
285,84.563,81.258
286,6.84,5.896
287,9.71,10.047
288,91.935,91.778
289,34.183,88.197
290,72.96,82.271
291,36.59,90.088
292,89.029,86.633
293,92.794,32.678
294,4.094,4.132
295,81.451,81.304
296,9.47,4.822
297,31.839,76.287
298,91.175,89.097
299,26.642,79.241
300,37.723,91.759
301,89.873,87.873
302,90.631,88.357
303,79.378,74.651
304,81.057,77.997
305,29.042,90.047
306,79.644,81.29
307,26.448,83.239
308,5.094,2.976
309,23.995,82.44
310,86.972,79.692
311,93.91,89.709
312,31.342,85.719
313,31.482,79.62
314,88.756,90.362
315,88.177,82.617
316,27.178,83.216
317,91.465,33.784
318,6.422,3.297
319,1.601,8.28
320,8.704,6.964
321,95.817,41.803
322,96.482,36.281
323,1.319,7.778
324,78.112,83.005
325,93.886,34.213
326,92.103,83.594
327,79.201,79.797
328,91.386,91.278
329,73.187,75.848
330,89.355,37.686
331,92.595,32.249
332,77.543,77.626
333,89.866,36.065
334,89.309,88.865
335,94.631,85.172
336,89.354,91.339
337,92.914,88.145
338,9.971,7.365
339,90.596,37.151
340,33.896,90.584
341,25.775,77.362
342,7.946,3.855
343,78.221,84.158
344,90.163,36.114
345,34.773,91.731
346,79.182,81.642
347,26.657,79.077
348,86.6,34.396
349,77.208,76.073
350,87.699,87.916
351,36.959,92.063
352,82.242,78.64
353,90.872,37.13
354,36.419,93.737
355,80.04,78.893
356,89.238,36.621
357,10.826,8.322
358,4.424,4.799
359,30.759,93.986
360,80.793,79.236
361,22.052,83.063
362,25.391,82.66
363,6.449,9.775
364,26.35,76.966
365,5.345,7.188
366,80.318,80.218
367,32.152,86.473
368,10.134,9.354
369,32.272,81.373
370,37.349,92.956
371,89.993,89.768
372,85.614,32.542
373,86.984,85.429
374,36.105,94.97
375,35.556,92.271
376,37.598,91.282
377,36.374,90.406
378,80.181,82.736
