index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,1,25.0,0,21.25,1.1,20.0,25.0
1,1,25.0,1,21.25,1.1,20.0,25.0
2,1,25.0,1,21.25,1.1,20.0,25.0
3,1,25.0,0,21.25,1.1,20.0,25.0
4,1,25.0,4,22.5,1.1,20.0,50.0
5,2,25.0,4,22.5,1.2100000000000002,20.0,50.0
6,1,25.0,2,21.25,1.1,20.0,50.0
7,1,25.0,0,21.25,1.1,20.0,25.0
8,2,25.0,3,22.5,1.2100000000000002,20.0,25.0
9,1,25.0,3,22.5,1.1,20.0,25.0
10,2,25.0,0,21.25,1.2100000000000002,20.0,25.0
11,2,25.0,0,21.25,1.2100000000000002,20.0,25.0
12,1,25.0,1,21.25,1.1,20.0,25.0
13,2,25.0,2,21.25,1.2100000000000002,20.0,50.0
14,2,25.0,3,22.5,1.2100000000000002,20.0,25.0
15,1,25.0,1,21.25,1.1,20.0,25.0
16,2,25.0,1,21.25,1.2100000000000002,20.0,25.0
17,1,25.0,0,21.25,1.1,20.0,25.0
18,1,25.0,4,22.5,1.1,20.0,50.0
19,1,25.0,4,22.5,1.1,20.0,50.0
20,1,25.0,4,22.5,1.1,20.0,50.0
21,1,25.0,1,21.25,1.1,20.0,25.0
22,2,25.0,4,22.5,1.2100000000000002,20.0,50.0
23,1,25.0,1,21.25,1.1,20.0,25.0
24,1,25.0,0,21.25,1.1,20.0,25.0
25,1,25.0,2,21.25,1.1,20.0,50.0
26,1,25.0,2,21.25,1.1,20.0,50.0
27,2,25.0,3,22.5,1.2100000000000002,20.0,25.0
