index,x,y
0,77.843,94.082
1,78.274,98.92
2,8.378,46.311
3,9.327,46.787
4,76.452,96.594
5,9.272,43.898
6,79.184,98.352
7,1.44,27.831
8,80.041,97.449
9,100.0,29.473
10,80.257,96.336
11,77.139,100.0
12,56.773,80.931
13,8.14,47.036
14,79.22,97.668
15,79.113,96.44
16,10.025,47.906
17,62.62,83.223
18,10.32,68.756
19,78.473,96.0
20,76.819,96.095
21,6.925,69.792
22,9.664,47.621
23,76.669,96.451
24,77.088,95.153
25,61.591,0.0
26,77.753,98.564
27,78.601,93.54
28,79.158,93.931
29,1.081,23.679
30,8.712,65.226
31,78.114,95.852
32,0.0,28.49
33,51.984,42.356
34,79.765,97.885
