carrier_id,client_id
0,0
0,2
0,11
0,15
0,17
0,31
0,32
0,35
0,10
0,13
0,14
0,20
0,22
0,27
0,29
0,36
0,38
0,39
0,50
0,3
0,5
0,6
0,7
0,8
0,18
0,19
0,21
0,23
0,26
0,28
0,30
0,34
0,41
0,42
0,43
0,44
0,49
0,51
0,1
0,4
0,9
0,12
0,16
0,24
0,25
0,33
0,37
0,40
0,45
0,46
0,47
0,48
1,0
1,2
1,11
1,15
1,17
1,31
1,32
1,35
1,10
1,13
1,14
1,20
1,22
1,27
1,29
1,36
1,38
1,39
1,50
2,10
2,13
2,14
2,20
2,22
2,27
2,29
2,36
2,38
2,39
2,50
2,3
2,5
2,6
2,7
2,8
2,18
2,19
2,21
2,23
2,26
2,28
2,30
2,34
2,41
2,42
2,43
2,44
2,49
2,51
3,3
3,5
3,6
3,7
3,8
3,18
3,19
3,21
3,23
3,26
3,28
3,30
3,34
3,41
3,42
3,43
3,44
3,49
3,51
3,1
3,4
3,9
3,12
3,16
3,24
3,25
3,33
3,37
3,40
3,45
3,46
3,47
3,48
4,0
4,2
4,11
4,15
4,17
4,31
4,32
4,35
4,1
4,4
4,9
4,12
4,16
4,24
4,25
4,33
4,37
4,40
4,45
4,46
4,47
4,48
