index,weight,type,clientId
0,3.02,1,0
1,5.33,1,0
2,8.54,1,0
3,7.01,1,0
4,7.66,1,0
5,8.28,1,1
6,13.99,1,1
7,10.58,1,1
8,14.8,1,1
9,8.04,1,1
10,7.08,1,2
11,5.34,1,2
12,13.04,1,2
13,11.03,1,2
14,13.29,1,3
15,5.11,1,3
16,6.1,1,3
17,2.13,1,4
18,5.7,1,4
19,13.17,1,5
20,9.2,1,5
21,12.53,1,5
22,2.39,1,5
23,8.24,1,5
24,5.45,1,6
25,6.98,1,6
26,6.86,1,6
27,2.42,1,6
28,13.35,1,7
29,4.47,1,7
30,2.64,1,7
31,12.03,1,7
32,11.37,1,8
33,12.08,1,8
34,11.29,1,8
35,14.03,1,9
36,13.88,1,10
37,8.3,1,11
38,7.87,1,11
39,4.31,1,11
40,13.84,1,12
41,9.2,1,12
42,8.72,1,12
43,7.04,1,13
44,9.26,1,14
45,11.35,1,15
46,12.39,1,16
47,4.73,1,16
48,10.82,1,16
49,14.35,1,16
50,6.73,1,16
51,2.64,1,17
52,3.11,1,17
53,3.79,1,17
54,5.98,1,17
55,13.55,1,17
56,13.13,1,18
57,2.02,1,19
58,4.85,1,19
59,4.3,1,20
60,8.41,1,21
61,2.82,1,22
62,4.01,1,22
63,5.6,1,22
64,10.06,1,22
65,6.85,1,23
66,3.81,1,23
67,13.9,1,23
68,6.93,1,24
69,2.87,1,24
70,7.84,1,25
71,8.78,1,26
72,7.74,1,26
73,7.9,1,26
74,9.8,1,26
75,5.67,1,27
76,9.38,1,27
77,5.9,1,27
78,12.01,1,27
79,9.53,1,28
80,2.62,1,28
81,3.13,1,28
82,10.87,1,28
83,6.91,1,29
84,14.4,1,30
85,10.7,1,30
86,6.32,1,31
87,14.66,1,32
88,13.92,1,32
89,8.63,1,32
90,9.46,1,32
91,12.22,1,33
92,2.23,1,33
93,12.49,1,33
94,6.45,1,34
95,3.41,1,34
96,3.52,1,34
97,8.92,1,34
98,12.89,1,35
99,12.7,1,36
100,5.7,1,36
101,10.85,1,36
102,8.91,1,36
103,11.62,1,36
104,6.95,1,37
105,13.17,1,37
106,6.31,1,38
107,11.66,1,38
108,6.83,1,38
109,8.55,1,39
110,2.4,1,40
111,3.53,1,40
112,6.63,1,40
113,9.5,1,40
114,7.65,1,41
115,9.68,1,41
116,10.61,1,42
117,6.47,1,43
118,8.06,1,43
119,12.87,1,43
120,5.09,1,44
121,4.82,1,44
122,5.49,1,44
123,4.08,1,45
124,6.13,1,45
125,11.31,1,45
126,6.77,1,45
127,8.21,1,46
128,7.71,1,46
129,4.12,1,47
130,9.92,1,47
131,4.09,1,47
132,14.81,1,47
133,5.26,1,47
134,5.83,1,48
135,2.38,1,48
136,3.36,1,48
137,6.28,1,49
138,5.21,1,50
139,9.43,1,50
140,10.82,1,50
141,12.63,1,50
142,10.34,1,51
143,12.02,1,52
144,9.68,1,52
145,13.46,1,52
146,10.01,1,53
147,12.87,1,53
148,13.85,1,53
149,13.8,1,53
