index,weight,type,clientId
0,12.05,1,0
1,16.56,1,0
2,15.83,1,1
3,5.6,1,2
4,15.98,1,2
5,5.12,1,2
6,23.05,1,2
7,17.38,1,2
8,7.48,1,3
9,19.61,1,3
10,17.64,1,3
11,23.14,1,4
12,18.52,1,4
13,10.62,1,4
14,13.46,1,4
15,6.34,1,4
16,8.07,1,5
17,14.72,1,5
18,8.45,1,6
19,23.39,1,6
20,23.24,1,6
21,20.87,1,6
22,20.22,1,7
23,15.98,1,7
24,22.49,1,7
25,8.27,1,8
26,21.37,1,8
27,11.89,1,8
28,11.46,1,9
29,15.69,1,9
30,9.91,1,9
31,5.69,1,9
32,14.9,1,10
33,7.45,1,10
34,8.3,1,10
35,19.68,1,11
36,5.13,1,11
37,12.46,1,11
38,19.34,1,12
39,11.71,1,12
40,6.87,1,13
41,10.12,1,14
42,14.8,1,15
43,12.75,1,15
44,7.22,1,15
45,6.18,1,15
46,20.96,1,16
47,17.5,1,16
48,23.17,1,16
49,10.77,1,16
50,6.04,1,16
51,8.11,1,17
52,12.05,1,17
53,21.97,1,17
54,5.54,1,17
55,21.2,1,18
56,19.45,1,18
57,18.4,1,19
58,21.49,1,19
59,19.61,1,19
60,6.22,1,20
61,24.62,1,20
62,17.23,1,21
63,9.74,1,21
64,6.2,1,21
65,16.1,1,21
66,9.48,1,21
67,10.88,1,22
68,16.45,1,23
69,14.12,1,23
70,13.95,1,23
71,7.35,1,23
72,11.17,1,24
73,9.52,1,24
74,9.71,1,24
75,8.84,1,25
76,17.84,1,25
77,16.82,1,25
78,15.37,1,26
79,17.29,1,26
80,24.74,1,26
81,20.99,1,26
82,22.76,1,27
83,12.79,1,27
84,10.08,1,28
85,22.76,1,28
86,17.59,1,28
87,21.93,1,28
88,21.96,1,28
89,7.24,1,29
90,17.88,1,29
91,7.47,1,29
92,18.83,1,29
93,11.51,1,30
94,5.64,1,30
95,20.95,1,30
96,10.91,1,31
97,6.41,1,31
98,10.79,1,31
99,12.52,1,31
100,13.82,1,32
101,24.47,1,33
102,18.42,1,33
103,19.29,1,34
104,8.34,1,34
105,8.67,1,34
106,21.8,1,34
107,19.43,1,34
108,8.55,1,35
109,8.74,1,36
110,14.68,1,36
111,11.19,1,36
112,22.56,1,36
113,21.59,1,37
114,24.84,1,38
115,7.4,1,38
116,23.22,1,38
117,21.52,1,38
118,11.51,1,39
119,13.72,1,39
120,22.8,1,40
121,13.2,1,40
122,17.91,1,40
123,22.9,1,40
124,14.21,1,40
125,10.31,1,41
126,9.12,1,41
127,9.05,1,41
128,17.89,1,41
129,22.14,1,41
130,23.95,1,42
131,23.86,1,43
132,11.06,1,43
133,17.48,1,43
134,21.57,1,43
135,7.34,1,43
136,11.37,1,44
137,15.44,1,44
138,23.08,1,45
139,21.25,1,45
140,7.04,1,45
141,16.43,1,45
142,17.21,1,45
143,22.87,1,46
144,24.45,1,46
145,13.0,1,46
146,18.14,1,46
147,24.12,1,46
148,21.11,1,47
149,6.21,1,47
