index,x,y
0,78.245,50.89
1,65.879,29.901
2,99.479,11.582
3,7.181,1.95
4,0.443,23.604
5,49.971,16.503
6,14.408,83.622
7,72.634,22.246
8,96.677,20.753
9,61.507,39.993
10,57.396,19.133
11,25.109,2.863
12,88.436,21.266
13,77.653,2.096
14,34.832,46.988
15,79.091,56.482
16,46.914,85.515
17,53.738,51.494
18,12.705,37.782
19,83.076,45.275
20,68.051,0.0
21,18.946,17.723
22,28.67,2.09
23,41.561,74.739
24,19.407,46.819
25,81.183,90.726
26,99.822,4.539
27,26.687,18.898
28,92.625,15.44
29,71.01,58.02
30,78.453,32.254
31,93.798,87.43
32,33.772,4.839
33,34.479,67.923
34,100.0,72.141
35,29.695,91.832
36,95.924,24.676
37,63.842,41.92
38,13.385,31.341
39,13.124,31.934
40,98.536,73.098
41,39.015,43.445
42,72.908,52.435
43,74.06,45.579
44,23.526,5.739
45,1.237,100.0
46,11.78,86.954
47,71.712,69.601
48,83.844,98.637
49,4.401,99.066
50,0.0,88.546
51,61.255,26.231
52,84.659,7.809
53,96.124,57.786
54,79.911,24.182
55,84.213,38.104
56,14.593,38.036
57,77.845,3.515
58,42.998,8.307
59,25.446,46.952
60,78.039,10.424
61,72.114,97.044
62,37.921,58.063
