index,x,y
0,4.029,5.734
1,31.241,79.441
2,77.383,21.311
3,88.928,36.551
4,33.477,76.845
5,69.711,67.289
6,97.071,74.602
7,69.352,31.232
8,96.891,70.584
9,71.788,56.359
10,72.785,53.092
11,3.508,0.604
12,74.152,21.475
13,62.505,99.505
14,73.473,55.063
15,70.968,30.27
16,71.831,30.465
17,32.009,79.517
18,73.554,55.215
19,0.0,1.33
20,74.319,53.317
21,60.923,100.0
22,76.091,20.968
23,5.455,0.0
24,41.437,88.889
25,73.113,54.744
26,76.172,20.771
27,4.873,2.045
28,71.541,55.978
29,73.8,65.744
30,92.184,37.608
31,72.076,56.852
32,32.655,81.313
33,59.68,95.812
34,70.097,33.66
35,40.176,90.315
36,67.859,31.423
37,3.043,4.306
38,90.081,36.706
39,59.499,98.592
40,70.002,65.732
41,68.852,34.064
42,100.0,72.873
43,70.695,52.508
44,93.336,38.538
45,96.013,69.986
46,42.455,91.505
47,58.747,95.714
48,78.617,21.932
49,32.095,79.595
50,70.142,65.734
51,71.465,54.724
52,39.398,91.795
53,33.592,82.783
54,71.6,63.85
55,59.629,98.992
56,72.51,53.251
57,39.489,93.129
58,98.448,70.376
59,93.904,37.127
60,91.22,35.615
61,76.779,56.013
62,41.484,90.569
63,73.712,66.676
64,96.568,70.713
65,77.844,20.89
