carrier_id,client_id
0,0
0,3
0,4
0,5
0,7
0,12
0,14
0,15
0,22
0,23
0,24
0,27
0,28
0,16
0,21
0,1
0,2
0,9
0,10
0,18
0,20
0,26
0,6
0,8
0,11
0,13
0,17
0,19
0,25
1,0
1,3
1,4
1,5
1,7
1,12
1,14
1,15
1,22
1,23
1,24
1,27
1,28
1,16
1,21
2,16
2,21
2,1
2,2
2,9
2,10
2,18
2,20
2,26
3,1
3,2
3,9
3,10
3,18
3,20
3,26
3,6
3,8
3,11
3,13
3,17
3,19
3,25
4,0
4,3
4,4
4,5
4,7
4,12
4,14
4,15
4,22
4,23
4,24
4,27
4,28
4,6
4,8
4,11
4,13
4,17
4,19
4,25
