index,weight,type,clientId
0,23.41,1,0
1,15.34,1,0
2,19.63,1,0
3,24.91,1,0
4,13.62,1,0
5,7.39,1,1
6,23.81,1,1
7,7.77,1,2
8,22.41,1,2
9,13.01,1,2
10,24.71,1,2
11,12.11,1,3
12,7.85,1,3
13,20.19,1,3
14,11.38,1,3
15,10.25,1,3
16,12.05,1,4
17,11.9,1,4
18,21.81,1,4
19,6.0,1,4
20,21.03,1,4
21,7.91,1,5
22,13.07,1,5
23,6.59,1,5
24,23.59,1,5
25,10.36,1,5
26,11.44,1,6
27,10.43,1,6
28,6.12,1,6
29,20.76,1,6
30,19.94,1,7
31,22.08,1,7
32,15.74,1,7
33,16.09,1,7
34,22.12,1,8
35,21.84,1,8
36,9.92,1,8
37,21.35,1,9
38,12.97,1,10
39,18.82,1,11
40,13.07,1,11
41,18.73,1,12
42,23.58,1,12
43,9.56,1,12
44,12.26,1,12
45,24.06,1,13
46,10.12,1,13
47,14.78,1,13
48,21.32,1,14
49,21.64,1,15
50,9.02,1,15
51,7.2,1,15
52,19.53,1,16
53,20.78,1,16
54,19.55,1,16
55,17.35,1,17
56,5.75,1,17
57,10.59,1,18
58,5.53,1,18
59,22.8,1,18
60,11.35,1,18
61,18.63,1,18
62,14.42,1,19
63,6.16,1,19
64,12.64,1,19
65,13.92,1,19
66,9.89,1,20
67,23.11,1,20
68,8.43,1,21
69,19.81,1,21
70,12.35,1,21
71,22.49,1,21
72,18.2,1,22
73,18.31,1,22
74,15.31,1,22
