index,type,capacity,carrierId,min_capacity,costPerKmPerWeight,additionalDeliveryCost,maxDistanceBetweenCustomers
0,2,25.0,1,23.75,1.21,20.0,10.0
1,2,25.0,1,23.75,1.21,20.0,10.0
2,1,25.0,0,22.5,1.1,20.0,20.0
3,2,25.0,1,23.75,1.21,20.0,10.0
4,1,25.0,1,23.75,1.1,20.0,10.0
5,1,25.0,1,23.75,1.1,20.0,10.0
6,2,25.0,1,23.75,1.21,20.0,10.0
7,1,25.0,0,22.5,1.1,20.0,20.0
8,2,25.0,0,22.5,1.21,20.0,20.0
9,2,25.0,0,22.5,1.21,20.0,20.0
10,2,25.0,1,23.75,1.21,20.0,10.0
11,2,25.0,2,22.5,1.21,20.0,20.0
12,2,25.0,0,22.5,1.21,20.0,20.0
13,1,25.0,1,23.75,1.1,20.0,10.0
14,1,25.0,0,22.5,1.1,20.0,20.0
15,2,25.0,0,22.5,1.21,20.0,20.0
16,1,25.0,1,23.75,1.1,20.0,10.0
17,2,25.0,1,23.75,1.21,20.0,10.0
18,2,25.0,0,22.5,1.21,20.0,20.0
19,2,25.0,0,22.5,1.21,20.0,20.0
20,2,25.0,2,22.5,1.21,20.0,20.0
21,1,25.0,1,23.75,1.1,20.0,10.0
22,2,25.0,1,23.75,1.21,20.0,10.0
23,1,25.0,1,23.75,1.1,20.0,10.0
24,1,25.0,1,23.75,1.1,20.0,10.0
25,2,25.0,0,22.5,1.21,20.0,20.0
26,2,25.0,0,22.5,1.21,20.0,20.0
27,2,25.0,3,22.5,1.21,20.0,10.0
28,1,25.0,0,22.5,1.1,20.0,20.0
29,1,25.0,1,23.75,1.1,20.0,10.0
30,2,25.0,2,22.5,1.21,20.0,20.0
31,1,25.0,1,23.75,1.1,20.0,10.0
32,1,25.0,2,22.5,1.1,20.0,20.0
33,2,25.0,2,22.5,1.21,20.0,20.0
34,2,25.0,2,22.5,1.21,20.0,20.0
35,2,25.0,3,22.5,1.21,20.0,10.0
36,1,25.0,0,22.5,1.1,20.0,20.0
37,2,25.0,3,22.5,1.21,20.0,10.0
38,2,25.0,2,22.5,1.21,20.0,20.0
39,2,25.0,0,22.5,1.21,20.0,20.0
40,2,25.0,1,23.75,1.21,20.0,10.0
41,1,25.0,1,23.75,1.1,20.0,10.0
42,1,25.0,0,22.5,1.1,20.0,20.0
43,2,25.0,1,23.75,1.21,20.0,10.0
44,1,25.0,1,23.75,1.1,20.0,10.0
45,2,25.0,1,23.75,1.21,20.0,10.0
46,2,25.0,3,22.5,1.21,20.0,10.0
47,2,25.0,0,22.5,1.21,20.0,20.0
48,1,25.0,3,22.5,1.1,20.0,10.0
49,2,25.0,2,22.5,1.21,20.0,20.0
50,2,25.0,0,22.5,1.21,20.0,20.0
51,1,25.0,0,22.5,1.1,20.0,20.0
52,1,25.0,1,23.75,1.1,20.0,10.0
53,1,25.0,2,22.5,1.1,20.0,20.0
54,1,25.0,2,22.5,1.1,20.0,20.0
55,1,25.0,2,22.5,1.1,20.0,20.0
56,1,25.0,1,23.75,1.1,20.0,10.0
57,2,25.0,2,22.5,1.21,20.0,20.0
